NO;NO2;NOX
36.9;27.7;64.6
29.3;31;60.4
13.9;20.1;34
9.8;16.3;26.1
9;11;20
6.8;9.4;16.2
10.9;11.7;22.7
7.6;9.9;17.5
8.3;11.4;19.7
10.3;11.6;21.9
9.6;12.3;21.9
9.4;24;33.5
14.5;29.2;43.7
6;17.9;23.9
13.6;21.2;34.7
8.4;20.4;28.8
16.1;17.5;33.6
1.2;7.4;8.6
0.7;3.6;4.3
3.9;7.4;11.3
4.3;7.4;11.7
1.8;7.6;9.4
4.4;9.5;14
10.4;11.5;21.8
7.6;6.5;14.1
7.6;5.3;13
6.2;4.8;11
6.2;4.7;10.9
5.6;5;10.6
6;5;11
5.2;3.7;9
4.2;3.1;7.3
4.6;4.1;8.7
5;4.3;9.3
4.4;5;9.4
3.5;6;9.5
3.8;7.4;11.1
2.2;5.2;7.3
2.4;6.5;8.9
3.1;7.6;10.7
1.3;4.7;5.9
0.4;2.9;3.3
1.5;5;6.5
0.4;3.5;3.8
0.2;1.8;2
0.7;2.3;2.9
1.2;5.2;6.4
11.6;9.5;21.1
3.6;3.7;7.2
2.1;2;4.1
1.1;0.9;2.1
0.9;1.1;2
1.3;1.4;2.7
2.2;2.1;4.3
2.7;3.2;5.9
4.6;4.2;8.8
5.5;5.5;10.9
3;5.4;8.4
2.7;4.9;7.7
3;5.7;8.8
3.2;9;12.3
3.4;10;13.5
1.9;8.5;10.4
6.1;11.4;17.5
1.9;8.1;10
0.9;4.3;5.1
2.4;3.1;5.6
1.7;2.7;4.4
3;3.7;6.7
2.1;5.5;7.7
2.6;9.8;12.4
8;17;25
13;19.2;32.2
10;13.1;23.1
6.4;6.6;13
9.3;9.4;18.8
7.6;7.9;15.5
5.8;5.5;11.3
10.1;9.7;19.8
9.3;9.4;18.8
9.3;9;18.3
8.5;9.8;18.4
12;14.6;26.6
8.7;14.4;23
8.6;17.4;26
11.3;20.2;31.5
15.1;19.3;34.5
3.9;11.7;15.6
2.3;11.6;13.9
6;14.9;20.9
2.6;15;17.6
4;15.7;19.7
3.8;17;20.8
11.2;16.7;27.9
21.4;14.4;35.8
32.8;15.7;48.6
31.4;16.6;48
20.3;12.5;32.8
18.5;13.4;32
19.1;16.9;36
17.1;15.7;32.8
10.2;13;23.1
NA;NA;NA
13.4;10.3;23.2
19.8;13.4;33.2
16.3;8.7;25
15.8;14;29.8
17.1;13.2;30.2
6.3;8.4;14.8
12.4;13.2;25.6
18.3;14.2;32.5
10.1;12.1;22.1
5.3;10.6;15.9
11.1;13.6;24.7
10.7;15;25.7
21.5;15.8;37.3
13.1;13.1;26.2
52.4;17.4;69.8
73.5;20.8;94.4
85.7;22.8;108.5
62.3;24.3;86.6
40.4;28.7;69
11.6;11.2;22.8
8.4;6.1;14.5
7.7;4.4;12.1
10.8;6.4;17.2
13.8;8.8;22.6
13.9;8.1;21.9
11.5;7.2;18.7
11.7;7.2;18.9
13.6;10.4;24
18.5;14.4;32.9
8.3;11.3;19.6
6.4;9.4;15.8
4.1;4.9;9
3.3;4.9;8.2
5.1;7.2;12.3
3.5;7.7;11.1
1.3;0.4;1.7
1.5;0;1.3
1.4;1.6;3
15.7;12.3;28
20.3;14.7;35
42;16.7;58.7
33.9;19.8;53.7
20.1;13.8;33.9
9.9;4.6;14.5
8;1;9
7.6;2.8;10.4
10.1;3.8;13.9
13.1;4.7;17.8
7.5;1.2;8.8
8.4;1.7;10.1
8.6;3.7;12.4
9.6;6.1;15.7
9.2;9.2;18.3
11;12.1;23.1
11.1;11.9;23
5.8;7.7;13.5
5.4;7.5;12.9
5;6.6;11.6
NA;NA;NA
NA;NA;NA
NA;NA;NA
NA;NA;NA
4.3;4.1;8.4
27.5;14.4;41.9
55.4;18.9;74.3
23.3;9;32.3
9.8;3.7;13.4
9;2.4;11.5
8.7;2.9;11.6
9;3.4;12.3
7.9;3.4;11.3
11.9;5.7;17.5
8.6;3;11.6
7.5;3.9;11.4
12.5;7.9;20.4
12.3;6.9;19.1
11.1;8.7;19.8
12.9;12.9;25.8
5.9;11.4;17.3
10.9;14.1;25
7;11.4;18.4
5.5;6.3;11.8
7.8;7.7;15.4
4.5;2.6;7.1
4.3;7.5;11.8
7.4;13.5;20.9
12.7;15.7;28.5
11.1;15.2;26.3
16.7;12.4;29.2
6.7;5;11.7
5.9;2.9;8.8
7.1;3.3;10.4
5.8;2.2;8
6;2.5;8.5
8.7;4.3;13
7.2;3.2;10.3
6.9;2.9;9.8
7.5;3.3;10.8
5.7;3.3;9
7.9;4.9;12.8
6.6;8.8;15.4
8.5;12.6;21.1
12.1;15.7;27.8
11.6;13.7;25.3
11.2;9.5;20.7
2;3.6;5.7
2.8;4.4;7.2
18.4;16;34.4
12;13.2;25.1
10.9;12.6;23.5
4.3;7.7;12
8.8;10.4;19.2
24.3;12.1;36.5
14.7;11;25.7
7.2;6;13.1
4.5;1.2;5.8
5.1;0;5.1
NA;NA;NA
NA;NA;NA
4.1;0.5;4.5
3.3;0.2;3.5
3.7;1;4.7
4.9;1.1;6
3.7;0.8;4.5
2.7;4;6.6
2.2;1.5;3.7
2.1;0.6;2.7
NA;NA;NA
2.1;1.4;3.5
2.2;1.1;3.4
1.6;1.3;2.8
2.7;5.3;8
1.8;5.2;7
1.9;5;6.9
4.9;10;14.9
8.2;8.4;16.6
34.4;12.8;47.2
20.7;9.3;29.9
3.9;0.3;4.2
NA;NA;NA
NA;NA;NA
NA;NA;NA
NA;NA;NA
NA;NA;NA
NA;NA;NA
NA;NA;NA
NA;NA;NA
NA;NA;NA
3.2;0.9;4.1
3.5;1.4;4.9
10.7;8.4;19.1
6.2;5.9;12.1
3.8;5.2;9
1.6;1.4;3
1.4;1.6;3
1.6;3.8;5.5
6.3;6.2;12.5
3.1;4.2;7.3
24.3;7.6;31.8
43.1;10.2;53.4
41.5;10.9;52.4
16.5;6.3;22.8
12.6;3.3;15.8
9.5;2.2;11.7
9.7;1.7;11.4
9.2;1.8;11
9;1.4;10.4
7.9;1;9
8.3;1.6;10
11.4;4.3;15.7
15;5;20
10.2;3.1;13.3
12.2;6.6;18.8
7;2.9;9.9
4.3;0.5;4.8
8.4;6.5;15
4.3;1.1;5.3
3.5;3.1;6.6
2.9;1.8;4.6
NA;NA;NA
NA;NA;NA
3.5;1.3;4.7
5.6;1.3;6.9
16.8;6.6;23.3
25.6;7.7;33.3
17.7;5.2;22.9
12.4;3.5;15.9
11.1;1.7;12.8
9.6;0.7;10.3
10;0.9;10.9
8.4;0;8.1
9.2;0.8;10
10.9;1.7;12.6
9.4;1.1;10.4
10.1;1.9;12
10.2;4.2;14.4
11.2;6.8;18.1
43.6;14.6;58.3
58;13.3;71.3
48;12.9;60.9
79.7;14.8;94.5
41.9;11.8;53.8
33.4;10.3;43.7
15.3;7.9;23.2
16.9;8.5;25.4
13.8;7.2;21
16.9;8.5;25.4
30.5;12.2;42.7
26;11.4;37.4
25.3;11.8;37.1
39.2;14.3;53.5
36.9;14.7;51.6
18.4;11.4;29.8
23;15.4;38.4
13.4;11.7;25.1
22;18.9;40.9
23.1;19.2;42.3
19.6;22.2;41.8
22.2;19.2;41.4
31.2;25.2;56.5
6.9;15.4;22.3
8.7;15.8;24.4
19.8;19.4;39.2
24.3;19.7;44
25.4;20.7;46
10.2;18.7;28.8
31.2;20.2;51.3
18.7;17;35.7
3;9.7;12.7
11.7;15.4;27.1
10.1;14.8;24.9
39;13.5;52.5
48.1;10;58.1
45.3;15.6;60.9
21.6;11;32.6
16.4;12.2;28.6
11.6;8.1;19.7
7.7;3;10.8
11.8;5;16.8
8.4;6.4;14.8
11.2;13.8;25
8.7;10.8;19.5
9.3;14.6;23.9
16;21.9;37.9
13.9;24.8;38.7
32.8;18.3;51.2
20.2;14.4;34.6
21.2;15;36.2
19.7;13.4;33.2
26.1;13.7;39.8
35.2;14.8;50
41.7;17;58.7
19.9;12.1;32.1
11.2;10.9;22.1
32.1;13;45.1
48.5;12.4;60.9
63.2;15.2;78.4
49.8;17.9;67.7
32.5;17.9;50.4
40.6;24.1;64.6
21.9;23.1;45
19.1;19.1;38.2
25.2;23.3;48.5
18.1;15.7;33.8
4.8;11.4;16.3
4.8;11.4;16.2
5.9;21.4;27.2
16.6;27.6;44.2
26.1;25.5;51.6
25.5;17.3;42.7
34.4;20.4;54.7
27.6;16;43.6
19.8;14.9;34.7
22.5;14.9;37.5
16.8;13.7;30.5
15.8;13;28.8
9.6;10.5;20.1
5;7.5;12.5
3.7;7.8;11.5
19.4;9.4;28.8
30;8.8;38.8
26;8.4;34.4
21.2;11.9;33.1
13.2;11.3;24.4
8.7;7.1;15.7
9.8;6.4;16.2
7.2;5;12.2
5.4;7;12.3
3.4;4.5;7.9
3.2;1.8;5
3.8;3.5;7.3
3.8;6.2;10
5.4;11.7;17.1
5.7;14.8;20.4
7.8;15.8;23.5
3.8;11.3;15.2
6.1;13.5;19.6
15.9;18.3;34.2
